source,target,kind,labels
TF COILS,PLASMA,,Functional
TF COILS,CRYOSTAT,,Functional
PF COILS,PLASMA,,Functional
PF COILS,CRYOSTAT,,Functional
CENTRAL SOLENOID,PLASMA,,Functional
STABILIZING COILS,PLASMA,,Functional
DIVERTOR,PLASMA,,Functional
HEATING SYSTEM,PLASMA,,Functional
FUELING SYSTEM,PLASMA,,Functional
DIVERTOR,PUMPING SYSTEM,,Functional
CRYOSTAT,TF COILS,,Functional
CRYOSTAT,PF COILS,,Functional
CRYOSTAT,CENTRAL SOLENOID,,Functional
CRYOSTAT,STABILIZING COILS,,Functional
WALL COOLING SYSTEM,FIRST WALL,,Functional
WALL COOLING SYSTEM,DIAGNOSTICS,,Functional
BREEDING BLANKET,WALL COOLING SYSTEM,,Functional
FIRST WALL,VACUUM VESSEL,,Functional
DIVERTOR,WALL COOLING SYSTEM,,Functional
BREEDING BLANKET,TRITIUM PROCESSING SYSTEM,,Functional
PLASMA,VACUUM VESSEL,,Functional
PLASMA,FUELING SYSTEM,,Functional
PLASMA,PUMPING SYSTEM,,Functional
PLASMA,HEATING SYSTEM,,Functional
PLASMA,CENTRAL SOLENOID,,Functional
PLASMA,TF COILS,,Functional
PLASMA,PF COILS,,Functional
PLASMA,DIVERTOR,,Functional
PLASMA CONTROL SYSTEM,DIAGNOSTICS,,Functional
BREEDING BLANKET,VACUUM VESSEL,,Functional
TRITIUM PROCESSING SYSTEM,FUELING SYSTEM,,Functional
FUELING SYSTEM,TRITIUM PROCESSING SYSTEM,,Functional
TRITIUM PROCESSING SYSTEM,BREEDING BLANKET,,Functional
BREEDING BLANKET,POWER CONVERSION SYSTEM,,Functional
WALL COOLING SYSTEM,POWER CONVERSION SYSTEM,,Functional
PLASMA CONTROL SYSTEM,PF COILS,,Functional
PLASMA CONTROL SYSTEM,STABILIZING COILS,,Functional
PLASMA CONTROL SYSTEM,CENTRAL SOLENOID,,Functional
PLASMA CONTROL SYSTEM,HEATING SYSTEM,,Functional
PLASMA CONTROL SYSTEM,FUELING SYSTEM,,Functional
PLASMA CONTROL SYSTEM,PUMPING SYSTEM,,Functional
DIAGNOSTICS,PLASMA CONTROL SYSTEM,,Functional
POWER CONVERSION SYSTEM,PLASMA CONTROL SYSTEM,,Functional
POWER CONVERSION SYSTEM,HEATING SYSTEM,,Functional
POWER CONVERSION SYSTEM,FUELING SYSTEM,,Functional
POWER CONVERSION SYSTEM,PUMPING SYSTEM,,Functional
POWER CONVERSION SYSTEM,BREEDING BLANKET,,Functional
