source,target,kind,labels
TF COILS,PLASMA,Functional,
PLASMA,TF COILS,Functional,
PF COILS,PLASMA,Functional,
PLASMA,PF COILS,Functional,
CENTRAL SOLENOID,PLASMA,Functional,
PLASMA,CENTRAL SOLENOID,Functional,
STABILIZING COILS,PLASMA,Functional,
PLASMA,STABILIZING COILS,Functional,
PLASMA CONTROL SYSTEM,PF COILS,Functional,
PF COILS,PLASMA CONTROL SYSTEM,Functional,
PLASMA CONTROL SYSTEM,STABILIZING COILS,Functional,
STABILIZING COILS,PLASMA CONTROL SYSTEM,Functional,
PLASMA CONTROL SYSTEM,HEATING SYSTEM,Functional,
HEATING SYSTEM,PLASMA CONTROL SYSTEM,Functional,
PLASMA CONTROL SYSTEM,FUELING SYSTEM,Functional,
FUELING SYSTEM,PLASMA CONTROL SYSTEM,Functional,
PLASMA CONTROL SYSTEM,PUMPING SYSTEM,Functional,
PUMPING SYSTEM,PLASMA CONTROL SYSTEM,Functional,
DIAGNOSTICS,PLASMA CONTROL SYSTEM,Functional,
PLASMA CONTROL SYSTEM,DIAGNOSTICS,Functional,
DIAGNOSTICS,PLASMA,Functional,
PLASMA,DIAGNOSTICS,Functional,
HEATING SYSTEM,PLASMA,Functional,
PLASMA,HEATING SYSTEM,Functional,
FUELING SYSTEM,PLASMA,Functional,
PLASMA,FUELING SYSTEM,Functional,
PUMPING SYSTEM,VACUUM VESSEL,Functional,
VACUUM VESSEL,PUMPING SYSTEM,Functional,
PUMPING SYSTEM,DIVERTOR,Functional,
DIVERTOR,PUMPING SYSTEM,Functional,
DIVERTOR,PLASMA,Functional,
PLASMA,DIVERTOR,Functional,
FIRST WALL,PLASMA,Functional,
PLASMA,FIRST WALL,Functional,
BREEDING BLANKET,PLASMA,Functional,
PLASMA,BREEDING BLANKET,Functional,
BREEDING BLANKET,TRITIUM PROCESSING SYSTEM,Functional,
TRITIUM PROCESSING SYSTEM,BREEDING BLANKET,Functional,
TRITIUM PROCESSING SYSTEM,FUELING SYSTEM,Functional,
FUELING SYSTEM,TRITIUM PROCESSING SYSTEM,Functional,
BREEDING BLANKET,WALL COOLING SYSTEM,Functional,
WALL COOLING SYSTEM,BREEDING BLANKET,Functional,
FIRST WALL,WALL COOLING SYSTEM,Functional,
WALL COOLING SYSTEM,FIRST WALL,Functional,
DIVERTOR,WALL COOLING SYSTEM,Functional,
WALL COOLING SYSTEM,DIVERTOR,Functional,
WALL COOLING SYSTEM,POWER CONVERSION SYSTEM,Functional,
POWER CONVERSION SYSTEM,WALL COOLING SYSTEM,Functional,
CRYOSTAT,TF COILS,Functional,
TF COILS,CRYOSTAT,Functional,
CRYOSTAT,PF COILS,Functional,
PF COILS,CRYOSTAT,Functional,
CRYOSTAT,CENTRAL SOLENOID,Functional,
CENTRAL SOLENOID,CRYOSTAT,Functional,
CRYOSTAT,STABILIZING COILS,Functional,
STABILIZING COILS,CRYOSTAT,Functional,
VACUUM VESSEL,PLASMA,Functional,
PLASMA,VACUUM VESSEL,Functional,
VACUUM VESSEL,DIAGNOSTICS,Functional,
DIAGNOSTICS,VACUUM VESSEL,Functional,
VACUUM VESSEL,HEATING SYSTEM,Functional,
HEATING SYSTEM,VACUUM VESSEL,Functional,
VACUUM VESSEL,FUELING SYSTEM,Functional,
FUELING SYSTEM,VACUUM VESSEL,Functional,
VACUUM VESSEL,PUMPING SYSTEM,Functional,
PUMPING SYSTEM,VACUUM VESSEL,Functional,
POWER CONVERSION SYSTEM,PLASMA CONTROL SYSTEM,Functional,
PLASMA CONTROL SYSTEM,POWER CONVERSION SYSTEM,Functional,
POWER CONVERSION SYSTEM,HEATING SYSTEM,Functional,
HEATING SYSTEM,POWER CONVERSION SYSTEM,Functional,
