source,target,kind,labels
TF coils,Plasma,Functional,
Plasma,TF coils,Functional,
PF coils,Plasma,Functional,
Plasma,PF coils,Functional,
Central solenoid,Plasma,Functional,
Plasma,Central solenoid,Functional,
Stabilizing coils,Plasma,Functional,
Plasma,Stabilizing coils,Functional,
Plasma control system,PF coils,Functional,
PF coils,Plasma control system,Functional,
Plasma control system,Stabilizing coils,Functional,
Stabilizing coils,Plasma control system,Functional,
Plasma control system,Heating system,Functional,
Heating system,Plasma control system,Functional,
Plasma control system,Fueling system,Functional,
Fueling system,Plasma control system,Functional,
Plasma control system,Pumping system,Functional,
Pumping system,Plasma control system,Functional,
Diagnostics,Plasma control system,Functional,
Plasma control system,Diagnostics,Functional,
Diagnostics,Plasma,Functional,
Plasma,Diagnostics,Functional,
Heating system,Plasma,Functional,
Plasma,Heating system,Functional,
Fueling system,Plasma,Functional,
Plasma,Fueling system,Functional,
Pumping system,Vacuum vessel,Functional,
Vacuum vessel,Pumping system,Functional,
Pumping system,Divertor,Functional,
Divertor,Pumping system,Functional,
Divertor,Plasma,Functional,
Plasma,Divertor,Functional,
First wall,Plasma,Functional,
Plasma,First wall,Functional,
Breeding Blanket,Plasma,Functional,
Plasma,Breeding Blanket,Functional,
Breeding Blanket,Tritium Processing System,Functional,
Tritium Processing System,Breeding Blanket,Functional,
Tritium Processing System,Fueling system,Functional,
Fueling system,Tritium Processing System,Functional,
Breeding Blanket,Wall Cooling System,Functional,
Wall Cooling System,Breeding Blanket,Functional,
First wall,Wall Cooling System,Functional,
Wall Cooling System,First wall,Functional,
Divertor,Wall Cooling System,Functional,
Wall Cooling System,Divertor,Functional,
Wall Cooling System,Power conversion system,Functional,
Power conversion system,Wall Cooling System,Functional,
Cryostat,TF coils,Functional,
TF coils,Cryostat,Functional,
Cryostat,PF coils,Functional,
PF coils,Cryostat,Functional,
Cryostat,Central solenoid,Functional,
Central solenoid,Cryostat,Functional,
Cryostat,Stabilizing coils,Functional,
Stabilizing coils,Cryostat,Functional,
Vacuum vessel,Plasma,Functional,
Plasma,Vacuum vessel,Functional,
Vacuum vessel,Diagnostics,Functional,
Diagnostics,Vacuum vessel,Functional,
Vacuum vessel,Heating system,Functional,
Heating system,Vacuum vessel,Functional,
Vacuum vessel,Fueling system,Functional,
Fueling system,Vacuum vessel,Functional,
Vacuum vessel,Pumping system,Functional,
Pumping system,Vacuum vessel,Functional,
Power conversion system,Plasma control system,Functional,
Plasma control system,Power conversion system,Functional,
Power conversion system,Heating system,Functional,
Heating system,Power conversion system,Functional,
