source,target,kind,labels
DIAGNOSTICS,PLASMA,Information,
PLASMA,DIAGNOSTICS,Information,
DIAGNOSTICS,PLASMA CONTROL SYSTEM,Information,
PLASMA CONTROL SYSTEM,DIAGNOSTICS,Information,
DIAGNOSTICS,HEATING SYSTEM,Information,
HEATING SYSTEM,DIAGNOSTICS,Information,
DIAGNOSTICS,FUELING SYSTEM,Information,
FUELING SYSTEM,DIAGNOSTICS,Information,
DIAGNOSTICS,PUMPING SYSTEM,Information,
PUMPING SYSTEM,DIAGNOSTICS,Information,
DIAGNOSTICS,VACUUM VESSEL,Information,
VACUUM VESSEL,DIAGNOSTICS,Information,
DIAGNOSTICS,DIVERTOR,Information,
DIVERTOR,DIAGNOSTICS,Information,
DIAGNOSTICS,FIRST WALL,Information,
FIRST WALL,DIAGNOSTICS,Information,
DIAGNOSTICS,BREEDING BLANKET,Information,
BREEDING BLANKET,DIAGNOSTICS,Information,
BREEDING BLANKET,POWER CONVERSION SYSTEM,Information,
PLASMA CONTROL SYSTEM,PLASMA,Information,
PLASMA,PLASMA CONTROL SYSTEM,Information,
PLASMA CONTROL SYSTEM,PF COILS,Information,
PF COILS,PLASMA CONTROL SYSTEM,Information,
PLASMA CONTROL SYSTEM,TF COILS,Information,
TF COILS,PLASMA CONTROL SYSTEM,Information,
PLASMA CONTROL SYSTEM,CENTRAL SOLENOID,Information,
CENTRAL SOLENOID,PLASMA CONTROL SYSTEM,Information,
PLASMA CONTROL SYSTEM,STABILIZING COILS,Information,
STABILIZING COILS,PLASMA CONTROL SYSTEM,Information,
PLASMA CONTROL SYSTEM,HEATING SYSTEM,Information,
HEATING SYSTEM,PLASMA CONTROL SYSTEM,Information,
PLASMA CONTROL SYSTEM,FUELING SYSTEM,Information,
FUELING SYSTEM,PLASMA CONTROL SYSTEM,Information,
PLASMA CONTROL SYSTEM,PUMPING SYSTEM,Information,
PUMPING SYSTEM,PLASMA CONTROL SYSTEM,Information,
