source,target,kind,labels
Diagnostics,Plasma,Information,
Plasma,Diagnostics,Information,
Diagnostics,Plasma control system,Information,
Plasma control system,Diagnostics,Information,
Diagnostics,Heating system,Information,
Heating system,Diagnostics,Information,
Diagnostics,Fueling system,Information,
Fueling system,Diagnostics,Information,
Diagnostics,Pumping system,Information,
Pumping system,Diagnostics,Information,
Diagnostics,Vacuum vessel,Information,
Vacuum vessel,Diagnostics,Information,
Diagnostics,Divertor,Information,
Divertor,Diagnostics,Information,
Diagnostics,First wall,Information,
First wall,Diagnostics,Information,
Diagnostics,Breeding Blanket,Information,
Breeding Blanket,Diagnostics,Information,
Plasma control system,Plasma,Information,
Plasma,Plasma control system,Information,
Plasma control system,PF coils,Information,
PF coils,Plasma control system,Information,
Plasma control system,TF coils,Information,
TF coils,Plasma control system,Information,
Plasma control system,Central solenoid,Information,
Central solenoid,Plasma control system,Information,
Plasma control system,Stabilizing coils,Information,
Stabilizing coils,Plasma control system,Information,
Plasma control system,Heating system,Information,
Heating system,Plasma control system,Information,
Plasma control system,Fueling system,Information,
Fueling system,Plasma control system,Information,
Plasma control system,Pumping system,Information,
Pumping system,Plasma control system,Information,
Heating system,Plasma,Information,
Plasma,Heating system,Information,
Fueling system,Plasma,Information,
Plasma,Fueling system,Information,
Pumping system,Vacuum vessel,Information,
Vacuum vessel,Pumping system,Information,
Pumping system,Divertor,Information,
Divertor,Pumping system,Information,
Divertor,Plasma,Information,
Plasma,Divertor,Information,
First wall,Plasma,Information,
Plasma,First wall,Information,
Breeding Blanket,Plasma,Information,
Plasma,Breeding Blanket,Information,
Wall Cooling system,First wall,Information,
First wall,Wall Cooling system,Information,
Wall Cooling system,Divertor,Information,
Divertor,Wall Cooling system,Information,
Wall Cooling system,Breeding Blanket,Information,
Breeding Blanket,Wall Cooling system,Information,
Tritium Processing System,Fueling system,Information,
Fueling system,Tritium Processing System,Information,
Breeding Blanket,Tritium Processing System,Information,
Tritium Processing System,Breeding Blanket,Information,
Cryostat,TF coils,Information,
TF coils,Cryostat,Information,
Cryostat,PF coils,Information,
PF coils,Cryostat,Information,
Cryostat,Central solenoid,Information,
Central solenoid,Cryostat,Information,
Cryostat,Stabilizing coils,Information,
Stabilizing coils,Cryostat,Information,
Vacuum vessel,Plasma,Information,
Plasma,Vacuum vessel,Information,
Power conversion system,Wall Cooling system,Information,
Wall Cooling system,Power conversion system,Information,
Power conversion system,Plasma control system,Information,
Plasma control system,Power conversion system,Information,
