source,target,kind,labels
Toroidal Field Coils,Vacuum Vessel,Design,
Toroidal Field Coils,Ports,Design,
Toroidal Field Coils,Divertor,Design,
Toroidal Field Coils,Central Solenoid,Design,
Toroidal Field Coils,Stabilizing Coils,Design,
Toroidal Field Coils,Cryostat,Design,
Poloidal Field Coils,Vacuum Vessel,Design,
Poloidal Field Coils,Cryostat,Design,
Poloidal Field Coils,Toroidal Field Coils,Design,
Poloidal Field Coils,Ports,Design,
Stabilizing Coils,Toroidal Field Coils,Design,
Stabilizing Coils,Divertor,Design,
Stabilizing Coils,Vacuum Vessel,Design,
Stabilizing Coils,First Wall,Design,
Stabilizing Coils,Ports,Design,
Central Solenoid,Toroidal Field Coils,Design,
Central Solenoid,Poloidal Field Coils,Design,
Central Solenoid,Vacuum Vessel,Design,
Central Solenoid,Cryostat,Design,
Ports,Vacuum Vessel,Design,
Ports,Cryostat,Design,
Ports,First Wall,Design,
Ports,Divertor,Design,
Ports,Heating System,Design,
Ports,Fueling System,Design,
Ports,Pumping System,Design,
Vacuum Vessel,First Wall,Design,
Vacuum Vessel,Divertor,Design,
Vacuum Vessel,Ports,Design,
Vacuum Vessel,Cryostat,Design,
Vacuum Vessel,Cooling System Blanket,Design,
Vacuum Vessel,Heating System,Design,
Vacuum Vessel,Fueling System,Design,
Vacuum Vessel,Pumping System,Design,
First Wall,Vacuum Vessel,Design,
First Wall,Divertor,Design,
First Wall,Ports,Design,
First Wall,Cooling System Blanket,Design,
First Wall,Heating System,Design,
First Wall,Fueling System,Design,
Divertor,Vacuum Vessel,Design,
Divertor,First Wall,Design,
Divertor,Ports,Design,
Divertor,Cooling System Blanket,Design,
Divertor,Pumping System,Design,
Divertor,Toroidal Field Coils,Design,
Divertor,Stabilizing Coils,Design,
Heating System,Ports,Design,
Heating System,Vacuum Vessel,Design,
Heating System,First Wall,Design,
Heating System,Plasma,Design,
Fueling System,Ports,Design,
Fueling System,Vacuum Vessel,Design,
Fueling System,First Wall,Design,
Fueling System,Divertor,Design,
Fueling System,Plasma,Design,
Pumping System,Ports,Design,
Pumping System,Vacuum Vessel,Design,
Pumping System,Divertor,Design,
Pumping System,Cryostat,Design,
Cryostat,Toroidal Field Coils,Design,
Cryostat,Poloidal Field Coils,Design,
Cryostat,Central Solenoid,Design,
Cryostat,Ports,Design,
Cryostat,Vacuum Vessel,Design,
Cryostat,Pumping System,Design,
Cooling System Blanket,First Wall,Design,
Cooling System Blanket,Divertor,Design,
Cooling System Blanket,Vacuum Vessel,Design,
Cooling System Blanket,Ports,Design,
Plasma,First Wall,Design,
Plasma,Divertor,Design,
Plasma,Heating System,Design,
Plasma,Fueling System,Design,
