source,target,kind,labels
Toroidal Field Coils,Vacuum Vessel,Design,
Vacuum Vessel,Toroidal Field Coils,Design,
Toroidal Field Coils,Ports,Design,
Ports,Toroidal Field Coils,Design,
Toroidal Field Coils,Divertor,Design,
Divertor,Toroidal Field Coils,Design,
Toroidal Field Coils,Central Solenoid,Design,
Central Solenoid,Toroidal Field Coils,Design,
Toroidal Field Coils,Stabilizing Coils,Design,
Stabilizing Coils,Toroidal Field Coils,Design,
Toroidal Field Coils,Cryostat,Design,
Cryostat,Toroidal Field Coils,Design,
Poloidal Field Coils,Vacuum Vessel,Design,
Vacuum Vessel,Poloidal Field Coils,Design,
Poloidal Field Coils,Cryostat,Design,
Cryostat,Poloidal Field Coils,Design,
Poloidal Field Coils,Toroidal Field Coils,Design,
Toroidal Field Coils,Poloidal Field Coils,Design,
Poloidal Field Coils,Ports,Design,
Ports,Poloidal Field Coils,Design,
Stabilizing Coils,Divertor,Design,
Divertor,Stabilizing Coils,Design,
Stabilizing Coils,Vacuum Vessel,Design,
Vacuum Vessel,Stabilizing Coils,Design,
Stabilizing Coils,First Wall,Design,
First Wall,Stabilizing Coils,Design,
Stabilizing Coils,Ports,Design,
Ports,Stabilizing Coils,Design,
Central Solenoid,Poloidal Field Coils,Design,
Poloidal Field Coils,Central Solenoid,Design,
Central Solenoid,Vacuum Vessel,Design,
Vacuum Vessel,Central Solenoid,Design,
Central Solenoid,Cryostat,Design,
Cryostat,Central Solenoid,Design,
Ports,Vacuum Vessel,Design,
Vacuum Vessel,Ports,Design,
Ports,Cryostat,Design,
Cryostat,Ports,Design,
Ports,First Wall,Design,
First Wall,Ports,Design,
Ports,Divertor,Design,
Divertor,Ports,Design,
Ports,Heating System,Design,
Heating System,Ports,Design,
Ports,Fueling System,Design,
Fueling System,Ports,Design,
Ports,Pumping System,Design,
Pumping System,Ports,Design,
Vacuum Vessel,First Wall,Design,
First Wall,Vacuum Vessel,Design,
Vacuum Vessel,Divertor,Design,
Divertor,Vacuum Vessel,Design,
Vacuum Vessel,Cooling System Blanket,Design,
Cooling System Blanket,Vacuum Vessel,Design,
Vacuum Vessel,Heating System,Design,
Heating System,Vacuum Vessel,Design,
Vacuum Vessel,Fueling System,Design,
Fueling System,Vacuum Vessel,Design,
Vacuum Vessel,Pumping System,Design,
Pumping System,Vacuum Vessel,Design,
First Wall,Divertor,Design,
Divertor,First Wall,Design,
First Wall,Cooling System Blanket,Design,
Cooling System Blanket,First Wall,Design,
First Wall,Heating System,Design,
Heating System,First Wall,Design,
First Wall,Fueling System,Design,
Fueling System,First Wall,Design,
Divertor,Cooling System Blanket,Design,
Cooling System Blanket,Divertor,Design,
Divertor,Pumping System,Design,
Pumping System,Divertor,Design,
Heating System,Plasma,Design,
Plasma,Heating System,Design,
Fueling System,Divertor,Design,
Divertor,Fueling System,Design,
Fueling System,Plasma,Design,
Plasma,Fueling System,Design,
Pumping System,Cryostat,Design,
Cryostat,Pumping System,Design,
Cooling System Blanket,Ports,Design,
Ports,Cooling System Blanket,Design,
Plasma,First Wall,Design,
First Wall,Plasma,Design,
Plasma,Divertor,Design,
Divertor,Plasma,Design,
